,err_rate_mean,err_rate_std,y0_mean,y0_std
0,3.063984418,1.756252717,45.25144272,3.217639368
100,0.684990644,0.307096822,46.02738342,3.207297517
200,0.380123743,0.174149662,46.76325531,3.181407026
300,0.350008205,0.123605285,47.46553726,3.156769085
400,0.245889224,0.129999894,48.13587418,3.116909184
500,0.206392872,0.154838173,48.78238907,3.075023673
600,0.14095196,0.036705858,49.39007797,3.028520476
700,0.124842522,0.009139369,49.9514801,2.963593737
800,0.114092425,0.031041106,50.48244781,2.889572609
900,0.101581569,0.017796068,50.98857574,2.807725804
1000,0.112900484,0.020812014,51.46748428,2.729525982
1100,0.092243177,0.011853114,51.91446915,2.648147688
1200,0.082682389,0.004089824,52.33364716,2.549135015
1300,0.085296729,0.015265364,52.74577332,2.471600435
1400,0.081327565,0.006045781,53.11825409,2.382781261
1500,0.080394701,0.013224515,53.45782623,2.272098404
1600,0.070305368,0.01179383,53.77548752,2.152852496
1700,0.063949845,0.007091702,54.08674469,2.042180243
1800,0.069311847,0.008667766,54.36613235,1.928412386
1900,0.064787821,0.006262891,54.62245255,1.818990102
2000,0.067064835,0.010015049,54.87136078,1.709047658
2100,0.061251921,0.00731981,55.09714813,1.593047345
2200,0.058932533,0.0049087,55.30142822,1.467141398
2300,0.056922602,0.007816157,55.48729401,1.354033619
2400,0.058530271,0.00651158,55.65147324,1.239212879
2500,0.059660835,0.005972608,55.80696487,1.132228434
2600,0.064543054,0.016297152,55.95747833,1.032468709
2700,0.090719847,0.047650915,56.10257492,0.942250177
2800,0.086703439,0.073578047,56.21960831,0.843107655
2900,0.147176879,0.183714104,56.33122635,0.747670116
3000,0.225365198,0.339640761,56.41664505,0.674590637
3100,0.54830474,0.981925055,56.50223541,0.596275191
3200,1.059046853,2.006212711,56.56368179,0.515775522
3300,1.395534338,2.679054197,56.66977234,0.472120978
3400,0.79865772,1.472440966,56.70256195,0.383729138
3500,0.412613451,0.702717762,56.76738281,0.328555954
3600,0.143299993,0.129049943,56.81880188,0.278460095
3700,0.160323194,0.154641368,56.85216599,0.225265206
3800,0.161810396,0.214360954,56.90020142,0.201401303
3900,0.268999036,0.442012906,56.94862595,0.178665071
4000,0.329788078,0.559267401,56.96814499,0.145595102
